<com.thoughtworks.xstream.core.util.FastStack: java.lang.Object[] stack>
<java.util.Vector: java.lang.Object[] elementData>
<ognl.SimpleNode: ognl.Node[] _children>
<org.joda.time.format.DateTimeFormatterBuilder$Composite: org.joda.time.format.DateTimePrinter[] iPrinters>
<org.joda.time.format.DateTimeFormatterBuilder$Composite: org.joda.time.format.DateTimeParser[] iParsers>
<java.util.ArrayList: java.lang.Object[] elementData>
<org.springframework.beans.factory.support.ConstructorResolver$ArgumentsHolder: java.lang.Object[] rawArguments>
<org.springframework.beans.factory.support.ConstructorResolver$ArgumentsHolder: java.lang.Object[] arguments>
<org.springframework.beans.factory.support.ConstructorResolver$ArgumentsHolder: java.lang.Object[] preparedArguments>
<com.google.inject.internal.util.$ImmutableMap$RegularImmutableMap: java.lang.Object[] table>
<com.thoughtworks.xstream.io.path.PathTracker: java.lang.String[] pathStack>
